N_ind;Time
1;0:04:03
1;0:22:15
1;0:27:51
5;0:35:35
2;0:40:51
1;0:42:08
3;0:47:10
1;0:49:38
2;0:57:21
1;1:02:12
1;1:09:24
1;1:17:00
2;1:17:28
1;1:28:23
2;1:29:24
3;2:09:49
2;2:30:20
1;2:52:45
1;2:53:35
1;2:56:07
1;3:03:46
1;3:08:30
2;3:21:52
1;3:47:38
1;4:08:00
1;4:12:00
1;4:20:16
1;4:41:57
3;5:31:01
1;6:01:16
4;6:36:47
1;6:53:26
1;7:17:50
1;7:22:37
1;7:32:05
1;7:39:26
1;8:01:35
1;8:30:55
1;8:44:55
1;10:47:51
1;12:17:20
1;12:23:19
1;12:40:40
1;13:27:48
5;14:14:41
1;15:23:51
2;15:50:50
2;16:31:28
1;16:50:01
2;17:10:54
2;17:47:50
10;18:00:39
2;18:03:37
11;18:11:09
2;18:20:50
2;18:25:14
1;18:33:44
4;18:41:32
2;18:44:00
1;18:45:57
2;18:48:11
1;18:51:11
3;19:09:06
2;19:12:04
2;19:16:07
1;19:22:46
1;19:24:29
1;19:28:39
2;19:29:52
3;19:30:07
5;19:30:42
1;19:31:36
4;19:32:30
1;19:33:14
1;19:34:01
2;19:43:55
1;19:44:05
1;19:46:13
1;19:50:08
2;19:52:34
2;19:53:31
2;19:55:47
5;19:56:03
1;19:58:10
2;20:00:52
2;20:07:10
2;20:08:32
1;20:11:21
1;20:12:46
7;20:17:01
2;20:26:26
4;20:32:00
1;20:41:58
3;20:50:14
4;21:06:48
5;21:09:25
3;21:36:32
1;21:37:46
1;21:42:33
2;21:51:10
1;21:59:06
2;22:17:26
3;22:23:15
4;22:41:57
1;22:51:33
6;22:57:39
1;23:07:01
2;23:07:47
1;23:19:37
2;23:22:59
5;23:31:38
2;23:31:39
6;23:36:37
1;23:42:19
1;23:47:34
4;23:59:02
