CAM;Lat;Long;K_0.05;K_3
1;0;0;0;1
2;0;2000;1;6
3;0;4000;0;5
4;0;6000;3;2
5;0;8000;13;1
6;0;10000;0;2
7;2000;0;0;1
8;2000;2000;5;7
9;2000;4000;27;0
10;2000;6000;1;2
11;2000;8000;1;1
12;2000;10000;0;8
13;4000;0;5;2
14;4000;2000;0;2
15;4000;4000;1;3
16;4000;6000;4;12
17;4000;8000;2;3
18;4000;10000;3;3
19;6000;0;2;1
20;6000;2000;15;4
21;6000;4000;0;5
22;6000;6000;3;4
23;6000;8000;4;6
24;6000;10000;4;2
25;8000;0;2;3
26;8000;2000;0;0
27;8000;4000;1;7
28;8000;6000;0;3
29;8000;8000;2;4
30;8000;10000;1;0
