camera;radius;angle;speed;date;time
1;4.84;0.07;2.88;30/05/2023;16:36:19
1;3.79;0.28;4.89;30/05/2023;16:36:22
1;0.3;-0.17;0.67;01/05/2023;14:53:56
1;4.21;0.12;1.53;02/05/2023;20:30:53
2;20.84;0.23;5.3;07/05/2023;21:34:54
2;29.87;0.33;3.65;07/05/2023;21:34:55
2;14.4;0.31;1.66;07/05/2023;21:34:59
2;17.48;0.2;1.03;10/05/2023;22:25:35
2;7.53;-0.27;0.9;12/06/2023;9:24:01
2;7.52;-0.15;0.08;14/06/2023;7:05:27
2;22.15;0.23;2.11;07/05/2023;21:34:54
2;29.93;0.32;3.87;07/05/2023;21:34:55
2;15.36;0.31;2.47;07/05/2023;21:34:59
2;14.77;0.34;1.21;07/05/2023;21:35:00
2;16.35;0.2;0.48;10/05/2023;22:25:35
2;12.7;0.09;3.03;10/05/2023;22:31:23
2;20.69;0.26;1.24;10/05/2023;23:51:03
2;15.06;0.21;0.68;14/05/2023;20:37:49
2;6.14;-0.25;0.04;15/05/2023;7:34:19
2;17;0.18;0.06;15/05/2023;9:11:26
2;6;0.31;1.47;15/05/2023;12:22:54
2;11.67;0.1;0.09;17/05/2023;7:23:55
2;2.14;0.35;0.56;17/05/2023;7:28:57
2;6.08;-0.33;0.11;17/05/2023;7:35:04
2;7.27;0.28;0.66;17/05/2023;7:35:36
2;2.94;-0.35;1.5;17/05/2023;7:35:57
2;4.16;-0.37;1.74;17/05/2023;7:36:09
2;8.46;0.19;0.75;18/05/2023;17:43:33
2;13.09;-0.23;0.72;19/05/2023;6:49:48
2;13.56;0.09;4.16;19/05/2023;8:48:00
2;9.57;0.32;0.32;19/05/2023;8:48:57
2;3.2;0.06;0.37;22/05/2023;7:56:33
2;9.25;0.26;1.04;23/05/2023;10:15:36
2;8.04;-0.36;0.13;23/05/2023;10:17:52
2;9.5;0.29;0.08;24/05/2023;11:03:27
2;8.86;0.06;0.12;24/05/2023;9:05:12
2;11.03;-0.22;0.08;25/05/2023;7:57:27
2;10.25;-0.19;0.33;25/05/2023;7:58:10
2;9.52;0.31;0.19;25/05/2023;7:58:16
2;9.02;0.36;0.1;25/05/2023;7:58:17
2;4.43;0.01;0.25;25/05/2023;7:59:50
2;12.55;0.18;NA;25/05/2023;21:51:17
2;16.74;0.22;2.98;26/05/2023;13:41:35
2;0.2;0.29;3.59;26/05/2023;13:41:35
2;3.55;0.3;5.27;26/05/2023;13:41:37
2;9.87;0.06;1.94;29/05/2023;8:16:14
2;6.55;0.22;0.09;31/05/2023;7:47:29
2;3.9;0.41;0.2;31/05/2023;7:47:50
2;5.16;0.27;1.26;01/06/2023;22:16:01
2;12.93;0.21;NA;01/06/2023;23:23:36
2;7.91;0.26;1.27;03/06/2023;15:54:00
2;0.05;0.37;1.66;03/06/2023;15:54:03
2;6.1;-0.26;0.27;03/06/2023;18:42:23
2;10.79;0.35;0.65;03/06/2023;18:44:54
2;5.38;-0.34;0.12;03/06/2023;18:48:10
2;6.49;0.28;0.06;03/06/2023;18:49:38
2;11.31;0.22;0.27;04/06/2023;7:48:20
2;9.93;0.09;0.23;04/06/2023;15:14:09
2;13.89;0.21;0.26;04/06/2023;15:38:54
2;12;0.18;0.82;04/06/2023;16:11:16
